seed,policy,facility_total_kwh,facility_per_job_kwh_mean
0,fixed,21.23666666666667,0.0861373873873874
0,mpc,19.774594017094014,0.07955821205821204
1,fixed,21.246527777777782,0.08634599673202616
1,mpc,19.790811965811965,0.07977469834087479
2,fixed,20.81902777777778,0.09169693732193733
2,mpc,19.383703703703706,0.08480093505734529
3,fixed,21.29375,0.08229166666666667
3,mpc,19.830754985754986,0.076013321013321
4,fixed,20.971388888888892,0.08608796296296296
4,mpc,19.53549145299145,0.07953282828282827
